symbol,date,time,bid,ofr,bidsiz,ofrsiz,mode,ex,mmid
A,2022.02.20,9:42:18,38.38,38.41,2,1,12,'T',null
A,2022.02.20,9:42:18,38.4,38.41,1,1,12,'T',null
A,2022.02.20,9:42:19,37.47,38.72,40,5,12,'D',EDGX
A,2022.02.20,9:42:19,37.47,39.32,40,40,12,'D',EDGA
A,2022.02.20,9:42:21,38.38,38.41,1,3,12,'P',null
A,2022.02.20,9:42:21,38.4,38.43,1,53,12,'T',null
A,2022.02.20,9:42:21,38.4,38.42,1,3,12,'T',null
A,2022.02.20,9:42:21,38.38,38.42,1,3,12,'I',null
A,2022.02.20,9:42:21,38.38,38.42,1,2,12,'P',null
A,2022.02.20,9:42:21,38.38,38.42,1,5,12,'P',null
A,2022.02.20,9:42:21,38.41,38.42,5,11,12,'N',null
A,2022.02.20,9:42:21,38.38,38.42,1,3,12,'P',null
A,2022.02.20,9:42:22,38.38,38.43,1,1,12,'I',null
A,2022.02.20,9:42:22,38.38,38.42,2,3,12,'T',null
A,2022.02.20,9:42:22,38.38,38.42,2,4,12,'T',null
A,2022.02.20,9:42:22,38.41,38.42,2,11,12,'N',null
A,2022.02.20,9:42:22,38.38,38.42,1,4,12,'P',null
A,2022.02.20,9:42:22,38.38,38.42,2,5,12,'T',null
A,2022.02.20,9:42:22,38.4,38.42,4,11,12,'N',null
A,2022.02.20,9:42:22,38.38,38.42,2,2,12,'T',null
A,2022.02.20,9:42:22,38.38,38.42,2,5,12,'T',null
A,2022.02.20,9:42:22,38.38,38.42,1,1,12,'I',null
A,2022.02.20,9:42:22,38.38,38.42,1,1,12,'P',null
A,2022.02.20,9:42:22,38.38,38.42,1,4,12,'P',null
A,2022.02.20,9:42:22,38.4,38.41,4,2,12,'N',null
A,2022.02.20,9:42:22,38.41,38.42,1,10,12,'N',null
A,2022.02.20,9:42:23,38.41,38.42,1,11,12,'N',null
A,2022.02.20,9:42:23,38.4,38.42,4,11,12,'N',null
A,2022.02.20,9:42:23,38.38,38.42,2,2,12,'T',null
A,2022.02.20,9:42:23,38.38,38.41,2,3,12,'T',null
A,2022.02.20,9:42:24,38.39,38.42,2,11,12,'N',null
A,2022.02.20,9:42:24,38.38,38.41,1,3,12,'P',null
A,2022.02.20,9:42:24,38.39,38.41,2,1,12,'N',null
A,2022.02.20,9:42:24,38.38,38.41,1,3,12,'I',null
A,2022.02.20,9:42:24,38.38,38.41,1,4,12,'P',null
A,2022.02.20,9:42:25,38.38,38.41,6,1,12,'N',null
A,2022.02.20,9:42:25,38.38,38.41,1,6,12,'P',null
A,2022.02.20,9:42:25,38.38,38.41,1,3,12,'T',null
A,2022.02.20,9:42:25,38.37,38.41,1,3,12,'I',null
A,2022.02.20,9:42:25,38.37,38.41,1,6,12,'P',null
A,2022.02.20,9:42:25,38.38,38.41,6,2,12,'N',null
A,2022.02.20,9:42:26,38.38,38.41,5,2,12,'N',null
A,2022.02.20,9:42:26,38.38,38.4,1,1,12,'T',null
A,2022.02.20,9:42:26,38.37,38.4,1,3,12,'I',null
A,2022.02.20,9:42:26,38.38,38.4,1,4,12,'T',null
A,2022.02.20,9:42:26,38.37,38.4,1,3,12,'P',null
A,2022.02.20,9:42:26,38.38,38.41,9,2,12,'N',null
A,2022.02.20,9:42:27,38.38,38.41,9,3,12,'N',null
A,2022.02.20,9:42:27,38.37,38.41,1,1,12,'I',null
A,2022.02.20,9:42:27,38.38,38.4,9,1,12,'N',null
A,2022.02.20,9:42:27,37.47,38.41,40,1,12,'D',EDGA
A,2022.02.20,9:42:27,38.38,38.4,1,1,12,'T',null
A,2022.02.20,9:42:27,38.37,38.41,1,4,12,'P',null
A,2022.02.20,9:42:28,38.37,38.4,1,5,12,'P',null
A,2022.02.20,9:42:28,38.38,38.4,9,3,12,'N',null
A,2022.02.20,9:42:28,38.38,38.4,2,1,12,'T',null
A,2022.02.20,9:42:28,38.37,38.41,1,4,12,'P',null
A,2022.02.20,9:42:28,38.37,38.42,1,1,12,'I',null
A,2022.02.20,9:42:28,38.37,38.41,1,3,12,'P',null
A,2022.02.20,9:42:28,38.39,38.4,2,3,12,'N',null
A,2022.02.20,9:42:29,38.38,38.4,1,1,12,'T',null
A,2022.02.20,9:42:29,38.39,38.4,2,2,12,'N',null
A,2022.02.20,9:42:30,38.39,38.4,1,1,12,'T',null
A,2022.02.20,9:42:30,38.38,38.4,1,1,12,'T',null
A,2022.02.20,9:42:31,38.39,38.4,1,1,12,'T',null
A,2022.02.20,9:42:31,38.39,38.42,1,1,12,'T',null
A,2022.02.20,9:42:31,38.39,38.4,1,1,12,'T',null
A,2022.02.20,9:42:31,38.37,38.41,1,1,12,'P',null
A,2022.02.20,9:42:31,38.39,38.4,3,2,12,'N',null
A,2022.02.20,9:42:31,38.39,38.41,3,2,12,'N',null
A,2022.02.20,9:42:31,38.39,38.42,1,1,12,'T',null
A,2022.02.20,9:42:31,38.38,38.42,1,1,12,'I',null
A,2022.02.20,9:42:31,38.38,38.41,1,1,12,'P',null
A,2022.02.20,9:42:31,38.39,38.43,1,53,12,'T',null
A,2022.02.20,9:42:31,38.38,38.43,1,1,12,'I',null
A,2022.02.20,9:42:32,38.38,38.41,1,6,12,'P',null
A,2022.02.20,9:42:32,38.38,38.41,1,5,12,'P',null
A,2022.02.20,9:42:32,38.39,38.41,1,5,12,'T',null
A,2022.02.20,9:42:32,38.38,38.41,2,5,12,'T',null
A,2022.02.20,9:42:32,38.38,38.42,1,1,12,'I',null
A,2022.02.20,9:42:32,38.4,38.41,2,1,12,'N',null
A,2022.02.20,9:42:32,38.38,38.42,2,1,12,'T',null
A,2022.02.20,9:42:32,38.4,38.42,2,10,12,'N',null
A,2022.02.20,9:42:32,38.4,38.42,3,10,12,'N',null
A,2022.02.20,9:42:32,38.4,38.42,3,11,12,'N',null
A,2022.02.20,9:42:32,38.38,38.42,1,1,12,'P',null
A,2022.02.20,9:42:32,38.38,38.41,2,1,12,'T',null
A,2022.02.20,9:42:33,38.38,38.41,2,6,12,'T',null
A,2022.02.20,9:42:33,38.38,38.41,1,5,12,'I',null
A,2022.02.20,9:42:33,38.38,38.41,1,5,12,'P',null
A,2022.02.20,9:42:33,38.38,38.41,2,1,12,'T',null
A,2022.02.20,9:42:33,38.38,38.42,1,1,12,'I',null
A,2022.02.20,9:42:33,38.38,38.41,2,6,12,'T',null
A,2022.02.20,9:42:33,38.38,38.41,1,5,12,'I',null
A,2022.02.20,9:42:34,38.4,38.42,4,11,12,'N',null
A,2022.02.20,9:42:36,38.38,38.42,1,1,12,'I',null
A,2022.02.20,9:42:36,38.38,38.41,1,6,12,'T',null
A,2022.02.20,9:42:36,38.37,38.42,1,1,12,'I',null
A,2022.02.20,9:42:36,38.37,38.41,1,5,12,'P',null
A,2022.02.20,9:42:36,38.4,38.42,1,11,12,'N',null
A,2022.02.20,9:42:37,38.38,38.42,1,1,12,'I',null
A,2022.02.20,9:42:37,38.38,38.41,1,5,12,'P',null
A,2022.02.20,9:42:37,38.39,38.42,12,11,12,'N',null
A,2022.02.20,9:42:37,38.38,38.41,2,6,12,'T',null
A,2022.02.20,9:42:37,38.38,38.4,2,2,12,'T',null
A,2022.02.20,9:42:37,38.38,38.43,1,1,12,'I',null
A,2022.02.20,9:42:38,38.38,38.4,2,5,12,'T',null
A,2022.02.20,9:42:38,38.39,38.42,12,10,12,'N',null
A,2022.02.20,9:42:38,38.38,38.4,1,3,12,'P',null
A,2022.02.20,9:42:38,38.39,38.4,12,1,12,'N',null
A,2022.02.20,9:42:38,38.38,38.4,1,3,12,'I',null
A,2022.02.20,9:42:39,38.39,38.4,22,1,12,'N',null
A,2022.02.20,9:42:41,38.38,38.4,2,4,12,'T',null
A,2022.02.20,9:42:41,38.38,38.43,1,1,12,'P',null
A,2022.02.20,9:42:41,38.38,38.42,1,1,12,'P',null
A,2022.02.20,9:42:41,38.39,38.4,22,2,12,'N',null
A,2022.02.20,9:42:41,38.39,38.42,22,10,12,'N',null
A,2022.02.20,9:42:41,38.38,38.43,1,1,12,'I',null
A,2022.02.20,9:42:41,38.38,38.4,2,1,12,'T',null
A,2022.02.20,9:42:41,38.39,38.42,1,1,12,'P',null
A,2022.02.20,9:42:42,38.39,38.4,1,1,12,'T',null
A,2022.02.20,9:42:42,38.39,38.43,1,1,12,'I',null
A,2022.02.20,9:42:42,38.39,38.4,22,1,12,'N',null
A,2022.02.20,9:42:42,38.39,38.4,23,1,12,'N',null
A,2022.02.20,9:42:43,38.39,38.4,1,3,12,'T',null
