symbol,date,time,bid,ofr,bidsiz,ofrsiz,mode,ex,mmid,ts
A,2022.02.20,09:41:40,38.399999999999998,38.409999999999996,7,11,12,'N',null,2022.02.20T14:41:40
A,2022.02.20,09:41:41,38.399999999999998,38.409999999999996,1,11,12,'N',null,2022.02.20T14:41:41
A,2022.02.20,09:41:42,38.380000000000002,38.439999999999997,1,1,12,'I',null,2022.02.20T14:41:42
A,2022.02.20,09:41:42,38.380000000000002,38.429999999999999,1,1,12,'I',null,2022.02.20T14:41:42
A,2022.02.20,09:41:42,37.469999999999998,38.429999999999999,20,1,12,'I',null,2022.02.20T14:41:42
A,2022.02.20,09:41:42,38.369999999999997,38.429999999999999,1,1,12,'I',null,2022.02.20T14:41:42
A,2022.02.20,09:41:42,38.369999999999997,38.420000000000001,1,1,12,'I',null,2022.02.20T14:41:42
A,2022.02.20,09:41:42,38.399999999999998,38.420000000000001,1,4,12,'T',null,2022.02.20T14:41:42
A,2022.02.20,09:41:42,38.380000000000002,38.420000000000001,1,2,12,'P',null,2022.02.20T14:41:42
A,2022.02.20,09:41:42,38.369999999999997,38.420000000000001,2,3,12,'P',null,2022.02.20T14:41:42
A,2022.02.20,09:41:42,38.380000000000002,38.420000000000001,1,3,12,'P',null,2022.02.20T14:41:42
A,2022.02.20,09:41:42,38.399999999999998,38.409999999999996,1,15,12,'N',null,2022.02.20T14:41:42
A,2022.02.20,09:41:42,38.369999999999997,38.420000000000001,1,4,12,'T',null,2022.02.20T14:41:42
A,2022.02.20,09:41:42,38.399999999999998,38.420000000000001,1,4,12,'T',null,2022.02.20T14:41:42
A,2022.02.20,09:41:42,38.369999999999997,38.420000000000001,2,3,12,'P',null,2022.02.20T14:41:42
A,2022.02.20,09:41:42,38.39,38.409999999999996,3,15,12,'N',null,2022.02.20T14:41:42
A,2022.02.20,09:41:44,38.399999999999998,38.420000000000001,2,4,12,'T',null,2022.02.20T14:41:44
A,2022.02.20,09:41:44,38.380000000000002,38.420000000000001,2,3,12,'P',null,2022.02.20T14:41:44
A,2022.02.20,09:41:48,38.399999999999998,38.420000000000001,2,4,12,'T',null,2022.02.20T14:41:48
A,2022.02.20,09:41:48,38.369999999999997,38.420000000000001,2,3,12,'P',null,2022.02.20T14:41:48
A,2022.02.20,09:41:48,38.380000000000002,38.420000000000001,2,3,12,'P',null,2022.02.20T14:41:48
A,2022.02.20,09:41:48,38.369999999999997,38.420000000000001,1,4,12,'T',null,2022.02.20T14:41:48
A,2022.02.20,09:41:48,38.369999999999997,38.420000000000001,1,2,12,'T',null,2022.02.20T14:41:48
A,2022.02.20,09:41:48,38.399999999999998,38.420000000000001,1,2,12,'T',null,2022.02.20T14:41:48
A,2022.02.20,09:41:48,38.369999999999997,38.420000000000001,2,3,12,'P',null,2022.02.20T14:41:48
A,2022.02.20,09:41:48,38.369999999999997,38.409999999999996,2,1,12,'P',null,2022.02.20T14:41:48
A,2022.02.20,09:41:48,38.369999999999997,38.420000000000001,2,3,12,'P',null,2022.02.20T14:41:48
A,2022.02.20,09:41:48,38.369999999999997,38.420000000000001,1,2,12,'T',null,2022.02.20T14:41:48
A,2022.02.20,09:41:48,38.399999999999998,38.420000000000001,1,2,12,'T',null,2022.02.20T14:41:48
A,2022.02.20,09:41:48,38.39,38.409999999999996,3,16,12,'N',null,2022.02.20T14:41:48
A,2022.02.20,09:41:48,38.399999999999998,38.420000000000001,1,1,12,'T',null,2022.02.20T14:41:48
A,2022.02.20,09:41:48,38.399999999999998,38.409999999999996,1,1,12,'T',null,2022.02.20T14:41:48
A,2022.02.20,09:41:53,38.369999999999997,38.409999999999996,2,2,12,'P',null,2022.02.20T14:41:53
A,2022.02.20,09:41:55,38.369999999999997,38.420000000000001,2,3,12,'P',null,2022.02.20T14:41:55
A,2022.02.20,09:41:55,38.39,38.409999999999996,3,17,12,'N',null,2022.02.20T14:41:55
A,2022.02.20,09:41:55,38.369999999999997,38.409999999999996,1,1,12,'T',null,2022.02.20T14:41:55
A,2022.02.20,09:41:56,38.399999999999998,38.409999999999996,1,1,12,'T',null,2022.02.20T14:41:56
A,2022.02.20,09:41:56,38.399999999999998,38.420000000000001,1,1,12,'T',null,2022.02.20T14:41:56
A,2022.02.20,09:41:56,38.399999999999998,38.409999999999996,1,1,12,'T',null,2022.02.20T14:41:56
A,2022.02.20,09:41:56,38.39,38.420000000000001,3,1,12,'N',null,2022.02.20T14:41:56
A,2022.02.20,09:41:58,38.369999999999997,38.409999999999996,1,1,12,'T',null,2022.02.20T14:41:58
A,2022.02.20,09:41:58,38.399999999999998,38.409999999999996,1,1,12,'T',null,2022.02.20T14:41:58
A,2022.02.20,09:41:58,38.369999999999997,38.409999999999996,1,1,12,'T',null,2022.02.20T14:41:58
A,2022.02.20,09:41:58,38.399999999999998,38.409999999999996,1,1,12,'T',null,2022.02.20T14:41:58
A,2022.02.20,09:41:58,38.399999999999998,38.409999999999996,1,1,12,'T',null,2022.02.20T14:41:58
A,2022.02.20,09:41:58,38.369999999999997,38.409999999999996,1,1,12,'T',null,2022.02.20T14:41:58
A,2022.02.20,09:41:58,38.399999999999998,38.409999999999996,1,1,12,'T',null,2022.02.20T14:41:58
A,2022.02.20,09:41:58,38.369999999999997,38.420000000000001,1,3,12,'P',null,2022.02.20T14:41:58
A,2022.02.20,09:41:58,38.380000000000002,38.420000000000001,1,3,12,'P',null,2022.02.20T14:41:58
A,2022.02.20,09:42:01,38.380000000000002,38.409999999999996,1,1,12,'T',null,2022.02.20T14:42:01
A,2022.02.20,09:42:01,38.399999999999998,38.409999999999996,1,1,12,'T',null,2022.02.20T14:42:01
A,2022.02.20,09:42:01,38.369999999999997,38.420000000000001,1,3,12,'P',null,2022.02.20T14:42:01
A,2022.02.20,09:42:04,38.369999999999997,38.409999999999996,1,3,12,'P',null,2022.02.20T14:42:04
A,2022.02.20,09:42:04,38.399999999999998,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:04
A,2022.02.20,09:42:04,38.369999999999997,38.409999999999996,1,3,12,'I',null,2022.02.20T14:42:04
